name,junctions,edges,length
Sydney,441,1061,106541
default_sg,254,469,44518
similarity_average_dissimilarity_sg,230,328,30482
similarity_average_similarity_sg,199,269,24898
similarity_maximal_similarity_sg,197,267,25063
similarity_minimal_similarity_sg,242,342,31737
similarity_shortest_length_sg,199,260,24507
name,total_results,initial_results,problem_count
09_13_19_sydney_similarity_average_dissimilarity_planned,0,0,20
09_13_19_sydney_default_planned,0,0,20
09_13_19_sydney_similarity_maximal_similarity_planned,5,5,20
09_13_19_sydney_similarity_average_similarity_planned,4,4,20
09_13_19_sydney_similarity_minimal_similarity_planned,0,0,20
09_13_19_sydney_similarity_shortest_length_planned,12,12,20
name,routeLength,speed,duration,waitingTime,timeLoss,departDelay,departDelayWaiting,totalTravelTime,totalDepartDelay
09_13_19_sydney,2615.36,6.88,414.74,161.19,245.89,1.98,-1.00,214833.00,1024.00
similarity_average_similarity_planned_1,2671.62,7.03,405.13,145.24,231.85,1.62,-1.00,209856.00,841.00
similarity_maximal_similarity_planned_1,2668.58,6.96,408.01,149.81,236.96,2.36,-1.00,211349.00,1221.00
similarity_shortest_length_planned_1,2740.80,6.86,448.69,171.35,274.67,2.14,-1.00,232420.00,1106.00
