name,junctions,edges,length
Sydney,441,1061,106541
default_sg,106,179,16427
similarity_average_dissimilarity_sg,86,113,10815
similarity_average_similarity_sg,78,111,10151
similarity_maximal_similarity_sg,80,106,9951
similarity_minimal_similarity_sg,86,125,10932
similarity_shortest_length_sg,80,107,9917
name,total_results,initial_results,problem_count
19_00_18_sydney_similarity_maximal_similarity_planned,20,20,20
19_00_18_sydney_similarity_shortest_length_planned,20,20,20
19_00_18_sydney_similarity_minimal_similarity_planned,20,20,20
19_00_18_sydney_default_planned,0,0,20
19_00_18_sydney_similarity_average_dissimilarity_planned,20,20,20
19_00_18_sydney_similarity_average_similarity_planned,20,20,20
name,routeLength,speed,duration,waitingTime,timeLoss,departDelay,departDelayWaiting,totalTravelTime,totalDepartDelay
19_00_18_sydney,2163.87,4.19,601.43,325.53,453.89,108.88,-1.00,492570.00,89172.00
similarity_average_dissimilarity_planned_1,2418.96,4.06,763.12,448.54,598.48,123.06,-1.00,624995.00,100784.00
similarity_average_similarity_planned_1,2298.32,3.29,958.74,615.26,799.31,149.64,-1.00,785208.00,122555.00
similarity_maximal_similarity_planned_1,2322.34,3.51,960.34,595.65,802.13,128.60,-1.00,680880.00,91180.62
similarity_minimal_similarity_planned_1,2354.21,3.04,1015.27,662.15,855.36,188.69,-1.00,831505.00,154540.00
similarity_shortest_length_planned_1,2391.18,2.94,1090.21,700.88,928.42,152.67,-1.00,892884.00,125040.00
