name,junctions,edges,length
New_York,212,455,51820
default_sg,145,301,28592
similarity_average_dissimilarity_sg,124,249,23865
similarity_average_similarity_sg,115,217,21528
similarity_maximal_similarity_sg,120,220,21767
similarity_minimal_similarity_sg,134,258,24956
similarity_shortest_length_sg,112,205,20616
name,total_results,initial_results,problem_count
20_54_29_new_york_similarity_average_similarity_planned,8,8,20
20_54_29_new_york_similarity_shortest_length_planned,11,11,20
20_54_29_new_york_default_planned,0,0,20
20_54_29_new_york_similarity_average_dissimilarity_planned,3,3,20
20_54_29_new_york_similarity_minimal_similarity_planned,3,3,20
20_54_29_new_york_similarity_maximal_similarity_planned,9,9,20
name,routeLength,speed,duration,waitingTime,timeLoss,departDelay,departDelayWaiting,totalTravelTime,totalDepartDelay
20_54_29_new_york,2522.01,2.14,1768.00,1263.93,1623.38,676.34,-1.00,1101467.00,421362.00
similarity_average_dissimilarity_planned_1,2551.61,2.28,1703.48,1208.84,1554.62,682.06,-1.00,1061267.00,424926.00
similarity_average_similarity_planned_1,2533.70,2.53,1672.76,1180.52,1525.73,670.01,-1.00,1042129.00,417419.00
similarity_maximal_similarity_planned_1,2607.02,2.48,1678.53,1176.45,1520.29,665.09,-1.00,1045726.00,414353.00
similarity_minimal_similarity_planned_1,2549.97,2.30,1699.79,1205.32,1551.34,668.65,-1.00,1058968.00,416569.00
similarity_shortest_length_planned_1,2545.25,2.47,1659.27,1164.94,1513.80,670.95,-1.00,1033724.00,418003.00
