name,junctions,edges,length
New_York,212,455,51820
default_sg,145,301,28592
similarity_average_dissimilarity_sg,124,249,23865
similarity_average_similarity_sg,115,217,21528
similarity_maximal_similarity_sg,120,220,21767
similarity_minimal_similarity_sg,134,258,24956
similarity_shortest_length_sg,112,205,20616
name,total_results,initial_results,problem_count
20_54_29_new_york_similarity_average_similarity_planned,11,11,20
20_54_29_new_york_similarity_shortest_length_planned,13,13,20
20_54_29_new_york_default_planned,5,5,20
20_54_29_new_york_similarity_average_dissimilarity_planned,9,9,20
20_54_29_new_york_similarity_minimal_similarity_planned,9,9,20
20_54_29_new_york_similarity_maximal_similarity_planned,11,11,20
name,routeLength,speed,duration,waitingTime,timeLoss,departDelay,departDelayWaiting,totalTravelTime,totalDepartDelay
20_54_29_new_york,2522.01,2.14,1768.00,1263.93,1623.38,676.34,-1.00,1101467.00,421362.00
default_planned_1,2575.35,2.63,1499.11,1057.20,1346.31,561.18,-1.00,933943.00,349614.00
similarity_average_dissimilarity_planned_1,2581.21,2.69,1624.97,1139.19,1472.56,674.48,-1.00,1012359.00,420201.00
similarity_average_similarity_planned_1,2568.63,2.60,1656.79,1161.26,1504.27,666.66,-1.00,1032178.00,415327.00
similarity_maximal_similarity_planned_1,2581.01,2.71,1654.12,1157.30,1500.11,680.46,-1.00,1030518.00,423926.00
similarity_minimal_similarity_planned_1,2620.89,3.04,1399.54,993.43,1244.14,628.62,-1.00,871912.00,391630.00
similarity_shortest_length_planned_1,2584.19,2.48,1656.56,1155.73,1504.83,670.08,-1.00,1032036.00,417459.00
