name,junctions,edges,length
bottleneck_sg,60,82,6910
default_sg,61,86,7291
similarity_maximal_similarity_sg,55,72,6296
similarity_average_dissimilarity_sg,58,78,6604
similarity_average_similarity_sg,53,72,6346
similarity_minimal_similarity_sg,61,81,6755
name,routeLength,speed,duration,waitingTime,timeLoss,departDelay,departDelayWaiting,totalTravelTime,totalDepartDelay
12_50_21_Dejvice,922.88,9.59,109.56,22.52,44.57,18.52,-1.00,13366.00,2260.00
bottleneck_planned_1,928.26,9.78,106.57,23.40,44.50,18.76,-1.00,13001.00,2289.00
bottleneck_planned_2,928.51,9.74,107.44,23.90,45.37,18.88,-1.00,13108.00,2303.00
default_planned_1,927.67,9.77,106.66,23.48,44.27,18.76,-1.00,13013.00,2289.00
default_planned_2,927.91,9.74,107.52,24.00,45.15,18.88,-1.00,13118.00,2303.00
similarity_average_dissimilarity_planned_1,970.05,9.48,119.47,23.42,46.68,18.85,-1.00,14575.00,2300.00
similarity_average_dissimilarity_planned_2,974.47,9.46,121.11,24.52,48.01,18.85,-1.00,14775.00,2300.00
similarity_average_similarity_planned_1,969.59,9.49,117.72,24.27,47.53,18.73,-1.00,14362.00,2285.00
similarity_average_similarity_planned_2,969.84,9.49,117.84,24.77,47.60,18.74,-1.00,14376.00,2286.00
similarity_maximal_similarity_planned_1,922.88,9.59,109.56,22.52,44.57,18.52,-1.00,13366.00,2260.00
similarity_maximal_similarity_planned_2,931.55,9.59,111.01,22.97,45.27,18.52,-1.00,13543.00,2260.00
similarity_minimal_similarity_planned_1,947.63,9.60,112.62,22.98,45.36,18.76,-1.00,13740.00,2289.00
similarity_minimal_similarity_planned_2,953.16,9.58,114.27,23.90,46.63,18.76,-1.00,13941.00,2289.00
