name,junctions,edges,length
default_sg,61,86,7291
similarity_minimal_similarity_sg,61,81,6755
similarity_average_similarity_sg,53,72,6346
similarity_maximal_similarity_sg,55,72,6296
similarity_average_dissimilarity_sg,58,78,6604
bottleneck_sg,60,82,6910
name,routeLength,speed,duration,waitingTime,timeLoss,departDelay,departDelayWaiting,totalTravelTime,totalDepartDelay
20_57_06_Dejvice,922.88,9.59,109.56,22.52,44.57,18.52,-1.00,13366.00,2260.00
bottleneck_planned_1,928.26,9.78,106.57,23.40,44.50,18.76,-1.00,13001.00,2289.00
bottleneck_planned_2,928.51,9.74,107.44,23.90,45.37,18.88,-1.00,13108.00,2303.00
default_planned_1,928.26,9.78,106.57,23.40,44.50,18.76,-1.00,13001.00,2289.00
default_planned_2,928.51,9.74,107.44,23.90,45.37,18.88,-1.00,13108.00,2303.00
similarity_average_dissimilarity_planned_1,983.53,9.40,122.43,23.43,47.39,18.85,-1.00,14936.00,2300.00
similarity_average_dissimilarity_planned_2,989.05,9.40,123.16,23.54,47.72,18.85,-1.00,15026.00,2300.00
similarity_average_similarity_planned_1,988.91,9.52,120.16,23.99,48.05,18.71,-1.00,14660.00,2283.00
similarity_average_similarity_planned_2,989.15,9.53,120.10,24.04,47.98,18.73,-1.00,14652.00,2285.00
similarity_maximal_similarity_planned_1,922.88,9.59,109.56,22.52,44.57,18.52,-1.00,13366.00,2260.00
similarity_maximal_similarity_planned_2,931.55,9.59,111.01,22.97,45.27,18.52,-1.00,13543.00,2260.00
similarity_minimal_similarity_planned_1,947.63,9.60,112.62,22.98,45.36,18.76,-1.00,13740.00,2289.00
similarity_minimal_similarity_planned_2,953.16,9.58,114.27,23.90,46.63,18.76,-1.00,13941.00,2289.00
